Weekly U.S. Product Supplied of Petroleum Products
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=pet&s=wrpupus2&f=w
11:10:18 GMT+0200 (heure d’été d’Europe centrale)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Product Supplied of Petroleum Products Thousand Barrels per Day
12/3/1993,16879
11/26/1993,16341
11/19/1993,18031
11/12/1993,17134
11/5/1993,17859
10/29/1993,17207
10/22/1993,17343
10/15/1993,18316
10/8/1993,17069
10/1/1993,17326
09/24/1993,17282
09/17/1993,17292
09/10/1993,17653
09/3/1993,16367
08/27/1993,17330
08/20/1993,18190
08/13/1993,17752
08/6/1993,18595
07/30/1993,16717
07/23/1993,17771
07/16/1993,17689
07/9/1993,16716
07/2/1993,17931
06/25/1993,16699
06/18/1993,17393
06/11/1993,16674
06/4/1993,16676
05/28/1993,17417
05/21/1993,16418
05/14/1993,17054
05/7/1993,16545
04/30/1993,17920
04/23/1993,17500
04/16/1993,17201
04/9/1993,16753
04/2/1993,16100
03/26/1993,17571
03/19/1993,17894
03/12/1993,16253
03/5/1993,17866
02/26/1993,17704
02/19/1993,17697
02/12/1993,16811
02/5/1993,18017
01/29/1993,17607
01/22/1993,17424
01/15/1993,16119
01/8/1993,15904
01/1/1993,17810
12/25/1992,18613
12/18/1992,18197
12/11/1992,17526
12/4/1992,17118
11/27/1992,16876
11/20/1992,17392
11/13/1992,16581
11/6/1992,16319
10/30/1992,17781
10/23/1992,15859
10/16/1992,17201
10/9/1992,17231
10/2/1992,17830
09/25/1992,16251
09/18/1992,16432
09/11/1992,16525
09/4/1992,16829
08/28/1992,17636
08/21/1992,17100
08/14/1992,17517
08/7/1992,17319
07/31/1992,17100
07/24/1992,16546
07/17/1992,17614
07/10/1992,17503
07/3/1992,17100
06/26/1992,14912
06/19/1992,17251
06/12/1992,15377
06/5/1992,17005
05/29/1992,15455
05/22/1992,16030
05/15/1992,16476
05/8/1992,16020
05/1/1992,17639
04/24/1992,17152
04/17/1992,16008
04/10/1992,17783
04/3/1992,16782
03/27/1992,17621
03/20/1992,16415
03/13/1992,16004
03/6/1992,16763
02/28/1992,15099
02/21/1992,16389
02/14/1992,16630
02/7/1992,17190
01/31/1992,17319
01/24/1992,17852
01/17/1992,16600
01/10/1992,16923
01/3/1992,16707
12/27/1991,17129
12/20/1991,18161
12/13/1991,16536
12/6/1991,16258
11/29/1991,15683
11/22/1991,15978
11/15/1991,17035
11/8/1991,17193
11/1/1991,16254
10/25/1991,17092
10/18/1991,17570
10/11/1991,17042
10/4/1991,17537
09/27/1991,16984
09/20/1991,17053
09/13/1991,16360
09/6/1991,16855
08/30/1991,16731
08/23/1991,16346
08/16/1991,17000
08/9/1991,16902
08/2/1991,16672
07/26/1991,16092
07/19/1991,16948
07/12/1991,15446
07/5/1991,17363
06/28/1991,17242
06/21/1991,17076
06/14/1991,16519
06/7/1991,16226
05/31/1991,16357
05/24/1991,15273
05/17/1991,16306
05/10/1991,15995
04/26/1991,16054
04/19/1991,15799
04/12/1991,15888
04/5/1991,16344
03/29/1991,17481
03/22/1991,16408
03/15/1991,16914
03/8/1991,16982
03/1/1991,16997
02/22/1991,15414
02/15/1991,15627
02/8/1991,16067
02/1/1991,16801
01/25/1991,16246
01/18/1991,16699
01/11/1991,17171
01/4/1991,15968
12/28/1990,17319
12/21/1990,17953
12/14/1990,16669
12/7/1990,16901
11/30/1990,17753
11/23/1990,15686
11/16/1990,17019
11/9/1990,16588
